Id,Text,Query,Label,LabelStr,Split,Event
1372226436149444608,,guns should be banned,,,unlabeled,atlanta
1372226436149444608,,guns should be regulated,,,unlabeled,atlanta
1372241100430270471,,guns should be banned,,,unlabeled,atlanta
1372241100430270471,,guns should be regulated,,,unlabeled,atlanta
1372243524578463748,,guns should be regulated,1,FAVOR,test,atlanta
1372243604010323968,,guns should be regulated,,,unlabeled,atlanta
1372243820507717632,,guns should be banned,,,unlabeled,atlanta
1372250451756740608,,guns should be banned,,,unlabeled,atlanta
1372250451756740608,,guns should be regulated,,,unlabeled,atlanta
1372251031891943424,,guns should be regulated,,,unlabeled,atlanta
1372254843969052675,,guns should be banned,,,unlabeled,atlanta
1372254843969052675,,guns should be regulated,,,unlabeled,atlanta
1372259301931245570,,guns should be banned,,,unlabeled,atlanta
1372259301931245570,,guns should be regulated,,,unlabeled,atlanta
1372260870189891590,,guns should be banned,1,FAVOR,valid,atlanta
1372266282507198467,,guns should be banned,2,NEUTRAL,test,atlanta
1372266661806436355,,guns should be banned,1,FAVOR,labeled,atlanta
1372266862285709312,,guns should be banned,,,unlabeled,atlanta
1372266862285709312,,guns should be regulated,,,unlabeled,atlanta
1372266901418749956,,guns should be banned,,,unlabeled,atlanta
1372266901418749956,,guns should be regulated,,,unlabeled,atlanta
1372268390568456192,,guns should be banned,,,unlabeled,atlanta
1372268390568456192,,guns should be regulated,,,unlabeled,atlanta
1372274268579500040,,guns should be banned,2,NEUTRAL,labeled,atlanta
1372274268579500040,,guns should be regulated,2,NEUTRAL,labeled,atlanta
1372277072459038721,,guns should be banned,,,unlabeled,atlanta
1372277072459038721,,guns should be regulated,,,unlabeled,atlanta
1372279675313999877,,guns should be banned,,,unlabeled,atlanta
1372279675313999877,,guns should be regulated,,,unlabeled,atlanta
1372280310918971395,,guns should be banned,,,unlabeled,atlanta
1372290314589769728,,guns should be banned,,,unlabeled,atlanta
1372290314589769728,,guns should be regulated,,,unlabeled,atlanta
1372293904410771457,,guns should be regulated,1,FAVOR,test,atlanta
1372294802180542472,,guns should be banned,,,unlabeled,atlanta
1372294802180542472,,guns should be regulated,,,unlabeled,atlanta
1372294978186149888,,guns should be banned,,,unlabeled,atlanta
1372295383620149253,,guns should be banned,,,unlabeled,atlanta
1372295383620149253,,guns should be regulated,,,unlabeled,atlanta
1372295545528725510,,guns should be regulated,1,FAVOR,labeled,atlanta
1372297556051496964,,guns should be banned,,,unlabeled,atlanta
1372299226273751049,,guns should be banned,,,unlabeled,atlanta
1372300137402265601,,guns should be banned,,,unlabeled,atlanta
1372300137402265601,,guns should be regulated,,,unlabeled,atlanta
1372303451091259394,,guns should be banned,2,NEUTRAL,labeled,atlanta
1372303451091259394,,guns should be regulated,2,NEUTRAL,labeled,atlanta
1372303679492141061,,guns should be regulated,1,FAVOR,labeled,atlanta
1372307908717899778,,guns should be banned,,,unlabeled,atlanta
1372307908717899778,,guns should be regulated,,,unlabeled,atlanta
1372316046338764801,,guns should be banned,,,unlabeled,atlanta
1372316046338764801,,guns should be regulated,,,unlabeled,atlanta
1372319149037338626,,guns should be banned,,,unlabeled,atlanta
1372319149037338626,,guns should be regulated,,,unlabeled,atlanta
1372320069884071936,,guns should be regulated,1,FAVOR,valid,atlanta
1372323260872941568,,guns should be banned,,,unlabeled,atlanta
1372326798571278336,,guns should be banned,,,unlabeled,atlanta
1372326798571278336,,guns should be regulated,,,unlabeled,atlanta
1372540054455877635,,guns should be banned,,,unlabeled,atlanta
1372540054455877635,,guns should be regulated,,,unlabeled,atlanta
1372541825337204737,,guns should be banned,,,unlabeled,atlanta
1372541825337204737,,guns should be regulated,,,unlabeled,atlanta
1372552397793460226,,guns should be banned,,,unlabeled,atlanta
1372552397793460226,,guns should be regulated,,,unlabeled,atlanta
1372552431184281605,,guns should be regulated,1,FAVOR,test,atlanta
1372555385266184201,,guns should be banned,,,unlabeled,atlanta
1372555385266184201,,guns should be regulated,,,unlabeled,atlanta
1372556410995810306,,guns should be banned,,,unlabeled,atlanta
1372572219843485697,,guns should be banned,,,unlabeled,atlanta
1372572219843485697,,guns should be regulated,,,unlabeled,atlanta
1372572880223932416,,guns should be regulated,1,FAVOR,labeled,atlanta
1372572978559348736,,guns should be regulated,,,unlabeled,atlanta
1372573133312380928,,guns should be regulated,1,FAVOR,valid,atlanta
1372573233258450950,,guns should be regulated,1,FAVOR,test,atlanta
1372573455690780675,,guns should be regulated,,,unlabeled,atlanta
1372574169825644545,,guns should be regulated,,,unlabeled,atlanta
1372574350373613569,,guns should be regulated,,,unlabeled,atlanta
1372603397635985415,,guns should be banned,,,unlabeled,atlanta
1372616169828532231,,guns should be banned,1,FAVOR,valid,atlanta
1372616169828532231,,guns should be regulated,1,FAVOR,valid,atlanta
1372616197389352961,,guns should be banned,1,FAVOR,labeled,atlanta
1372616197389352961,,guns should be regulated,1,FAVOR,labeled,atlanta
1372618906964275203,,guns should be banned,,,unlabeled,atlanta
1372618906964275203,,guns should be regulated,,,unlabeled,atlanta
1372637337662992389,,guns should be banned,,,unlabeled,atlanta
1372637337662992389,,guns should be regulated,,,unlabeled,atlanta
1372641824616153091,,guns should be banned,,,unlabeled,atlanta
1372643491197689856,,guns should be banned,,,unlabeled,atlanta
1372643491197689856,,guns should be regulated,,,unlabeled,atlanta
1372658673114357765,,guns should be regulated,1,FAVOR,labeled,atlanta
1372668856104321028,,guns should be regulated,1,FAVOR,labeled,atlanta
1372680488515735555,,guns should be banned,2,NEUTRAL,test,atlanta
1372680488515735555,,guns should be regulated,1,FAVOR,test,atlanta
1372686734018760704,,guns should be regulated,,,unlabeled,atlanta
1372687336228716550,,guns should be banned,,,unlabeled,atlanta
1372687336228716550,,guns should be regulated,,,unlabeled,atlanta
1372690032625131527,,guns should be banned,1,FAVOR,test,atlanta
1372890299333234689,,guns should be banned,,,unlabeled,atlanta
1372890299333234689,,guns should be regulated,,,unlabeled,atlanta
1372892851617599494,,guns should be banned,,,unlabeled,atlanta
1372892851617599494,,guns should be regulated,,,unlabeled,atlanta
1372894774139752449,,guns should be regulated,,,unlabeled,atlanta
1372897175022178305,,guns should be banned,,,unlabeled,atlanta
1372897175022178305,,guns should be regulated,,,unlabeled,atlanta
1372913994122547201,,guns should be banned,,,unlabeled,atlanta
1372914425720672256,,guns should be regulated,,,unlabeled,atlanta
1372977815566446594,,guns should be banned,2,NEUTRAL,valid,atlanta
